ID	B1	B2	B3	val
1176	206	240	255	2
1177	212	255	255	2
1178	206	255	255	2
1179	193	233	255	2
1180	187	233	244	2
1181	199	248	255	2
1182	206	255	255	2
1183	206	248	255	2
1184	206	248	255	2
1185	206	240	244	2
1186	199	233	244	2
1187	199	233	232	2
1188	206	233	244	2
1189	212	225	244	2
1190	218	210	232	2
1191	212	203	232	2
1192	199	195	221	2
1193	187	195	221	2
1194	193	180	221	2
1195	206	188	197	2
1196	212	218	221	2
1197	212	255	244	2
1198	206	255	244	2
1199	206	233	255	2
1200	199	225	244	2
1201	206	225	232	2
1202	212	240	244	2
1203	212	248	244	2
1204	206	255	255	2
1205	206	255	255	2
1206	199	248	255	2
1207	199	240	244	2
1208	199	233	221	2
1209	199	240	244	2
1210	193	240	244	2
1211	181	233	244	2
1212	181	233	244	2
1213	187	233	244	2
1214	187	233	232	2
1215	187	233	232	2
1216	187	233	232	2
1217	187	233	244	2
1218	187	233	232	2
1219	187	233	244	2
1220	193	233	244	2
1221	193	225	232	2
1222	193	218	244	2
1223	193	225	232	2
1224	206	218	244	2
1225	224	203	221	2
1226	231	165	197	2
1227	231	173	186	2
1228	212	195	209	2
1229	199	218	221	2
1230	193	233	221	2
1231	193	240	232	2
1232	187	233	244	2
1233	187	233	232	2
1234	193	233	232	2
1235	187	233	244	2
1236	187	233	232	2
1237	187	225	232	2
1238	193	233	232	2
1239	187	233	232	2
1240	187	225	232	2
1241	193	225	232	2
1242	193	225	232	2
1243	187	225	221	2
1244	181	218	232	2
1245	181	218	232	2
1246	187	218	232	2
1247	187	218	232	2
1248	193	225	232	2
1249	199	240	232	2
1250	212	233	244	2
1251	224	225	232	2
1252	243	195	221	2
1253	255	188	209	2
1254	243	195	209	2
1255	231	180	221	2
1256	212	165	186	2
1257	206	180	197	2
1258	212	203	209	2
1259	212	218	221	2
1260	212	218	244	2
1261	212	218	221	2
1262	181	233	244	2
1263	187	233	244	2
1264	181	233	255	2
1265	187	240	255	2
1266	187	240	255	2
1267	187	248	255	2
1268	193	248	255	2
1269	181	240	244	2
1270	187	233	244	2
1271	187	248	255	2
1272	193	240	255	2
1273	193	225	255	2
1274	199	233	255	2
1275	212	233	255	2
1276	218	233	255	2
1277	212	248	255	2
1278	218	255	255	2
1279	206	255	255	2
1280	193	255	255	2
1281	187	240	244	2
1282	199	248	255	2
1283	206	255	255	2
1284	212	255	255	2
1285	218	255	255	2
1286	218	240	255	2
1287	212	248	255	2
1288	218	240	255	2
1289	218	240	255	2
1290	218	240	255	2
1291	218	225	244	2
1292	218	210	232	2
1293	199	203	232	2
1294	187	203	221	2
1295	193	188	232	2
1296	206	195	197	2
1297	199	218	221	2
1298	199	240	232	2
1299	199	248	232	2
1300	199	233	255	2
1301	199	233	232	2
1302	206	233	232	2
1303	212	233	244	2
1304	206	248	244	2
1305	206	255	255	2
1306	199	248	255	2
1307	193	240	244	2
1308	193	240	244	2
1309	193	233	232	2
1310	193	248	244	2
1311	193	240	244	2
1312	187	233	244	2
1313	187	233	244	2
1314	187	233	244	2
1315	187	233	244	2
1316	187	233	232	2
1317	187	233	232	2
1318	187	233	232	2
1319	193	233	232	2
1320	187	233	232	2
1321	193	233	232	2
1322	193	233	232	2
1323	193	225	232	2
1324	199	225	232	2
1325	206	218	244	2
1326	224	195	209	2
1327	231	173	186	2
1328	224	173	197	2
1329	212	195	209	2
1330	199	218	221	2
1331	193	225	221	2
1332	187	233	232	2
1333	187	233	244	2
1334	187	225	232	2
1335	193	225	232	2
1336	187	225	232	2
1337	193	225	232	2
1338	199	225	244	2
1339	199	225	232	2
1340	193	225	232	2
1341	193	218	232	2
1342	199	225	232	2
1343	193	218	244	2
1344	187	225	221	2
1345	181	218	232	2
1346	187	218	232	2
1347	187	225	221	2
1348	187	218	232	2
1349	193	225	232	2
1350	199	233	244	2
1351	206	233	244	2
1352	224	225	232	2
